"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-21","0.00","64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-22","0.03","69","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-23","0.00","66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-24","0.00","61","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-25","0.00","68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-26","0.00","65","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-27","0.00","64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-28","0.00","62","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-29","0.00","62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-30","0.00","63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-01","0.00","65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-02","0.00","65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-03","0.00","73","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-04","0.00","63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-05","0.00","63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-06","0.00","70","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-07","0.00","67","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-08","0.00","68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-09","0.00","65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-10","0.00","64","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-11","0.00","67","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-12","0.00","64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-13","0.00","83","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-14","0.00","95","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-15","0.00","86","64"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-16","0.01","81","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-17","0.00","81","62"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-18","0.00","77","61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-19","0.00","77","60"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-20","0.00","72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-21","0.00","75","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-22","0.00","74","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-23","0.00","68","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-24","0.00","68","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-25","0.00","67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-26","0.00","59","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-08-27","0.00","64","54"
